# t,Ke0,Kd0,Ke1,Ke2,Ke3
0.286,4796340587426125,-31525032449.5811,1.56720020094484E+029,2.1700933978864E+030,-33805.989940106
0.288,4339744453563567,-28523951179.2274,1.41800676456393E+029,1.96361211134184E+030,-30646.4900095227
0.29,3926539670841235,-25808069368.6463,1.2829916738846E+029,1.77673702332691E+030,-27780.9001406233
0.292,3552612311528028,-23350347298.3771,1.16081065901251E+029,1.60761160378442E+030,-25182.038496664
0.294,3.21423726218303E+015,-21126300818.8472,1.05024650244259E+029,1.45455446508011E+030,-22825.2186274278
0.296,2.90804163083096E+015,-19113760835.4785,9.5019708125104E+028,1.31604292171443E+030,-20688.0226136674
0.298,2630971578669927,-17292655302.7833,8.59664528389637E+028,1.19069808291941E+030,-18750.0947363403
0.3,2.38026225816824E+015,-15644811635.6669,7.7774540915733E+028,1.07727133652926E+030,-16992.9529436114
0.302,2.15341056883977E+015,-14153777640.6471,7.03621818443054E+028,9.7463209539044E+029,-15399.8183628592
0.304,1.94815046838889E+015,-12804659242.7325,6.36553313050876E+028,8.81756689379589E+029,-13955.4592352759
0.306,1.7624306011795E+015,-11583973443.4849,5.75869601298444E+028,7.97718296779733E+029,-12646.04956624
0.308,1.59439402799274E+015,-10479515090.3083,5.20963919279216E+028,7.2167781853118E+029,-11459.0405965379
0.31,1.44235986090178E+015,-9480236167.50361,4.71287029692192E+028,6.52875607720515E+029,-10383.0433497638
0.312,1.30480662532541E+015,-8576136439.57192,4.26341785082908E+028,5.90623974742094E+029,-9407.72264341174
0.314,1.18035718778584E+015,-7758164385.56227,3.8567820272537E+028,5.34300395894695E+029,-8523.6999824543
0.316,1.06776510288211E+015,-7018127461.40324,3.4888900326823E+028,4.83341359837283E+029,-7722.46575686136
0.318,965902246536016,-6348610816.66776,3.15605569715259E+028,4.37236792386478E+029,-6996.29928356925
0.32,873747615020316,-5742903673.6516,2.85494287347352E+028,3.95525005643061E+029,-6338.19615791533
0.322,790377180420689,-5194932650.05541,2.58253228859941E+028,3.57788122437932E+029,-5741.80220041952
0.324,714954703362996,-4699201373.63662,2.33609152313812E+028,3.23647931626376E+029,-5201.3535380152
0.326,646723413145196,-4250735797.9229,2.11314782522836E+028,2.92762133893557E+029,-4711.62207502897
0.328,584998473731060,-3845034683.31551,1.91146349240374E+028,2.64820941477874E+029,-4267.865961879
0.33,529160161712559,-3478024757.65235,1.72901357994849E+028,2.39543998623384E+029,-3865.7846496697
0.332,478647689251778,-3146020116.14491,1.56396571682992E+028,2.16677592663352E+029,-3501.47811262841
0.334,432953611276632,-2845685461.37205,1.41466183076987E+028,1.95992128441772E+029,-3171.40966318484
0.336,391618761883828,-2574002821.66743,1.27960160259114E+028,1.77279841324733E+029,-2872.37235336333
0.338,354227670075485,-2328241420.00563,1.15742748684985E+028,1.60352726367449E+029,-2601.45836744561
0.34,320404409624274,-2105930396.29355,1.04691115102203E+028,1.450406632956E+029,-2356.0312714953
0.342,289808842088615,-1904834113.75274,9.46941199391474E+027,1.31189718864591E+029,-2133.70081088783
0.344,262133215885189,-1722929805.55397,8.56512060358458E+027,1.18660609886418E+029,-1932.30003159866
0.346,237099087772419,-1558387340.55822,7.74713927273097E+027,1.07327311777967E+029,-1749.86450578066
0.348,214454536283897,-1409550907.99217,7.00723653238627E+027,9.70757989056558E+028,-1584.61353745666
0.35,193971639506380,-1274922439.57463,6.33796509701705E+027,8.78029042898148E+028,-1434.93302083717
0.352,175444192215490,-1153146604.85791,5.7325872712104E+027,7.94152873978757E+028,-1299.35990365388
0.354,158685639698410,-1042997230.8354,5.18500743720158E+027,7.18284998168637E+028,-1176.56817051489
0.356,143527207774584,-943365011.056074,4.68971095294861E+027,6.49661395542731E+028,-1065.35601107937
0.358,129816210418890,-853246382.113621,4.24170885369043E+027,5.87590855872177E+028,-964.634263460145
0.36,117414518172271,-771733456.920313,3.83648780717442E+027,5.31448050681916E+028,-873.415880059264
0.362,106197172098888,-698004914.625888,3.46996482473308E+027,4.8066726312181E+028,-790.80639412928
0.364,96051129491944.9,-631317756.492985,3.13844627729693E+027,4.34736713364657E+028,-715.995277553323
0.366,86874128835886.2,-570999845.597585,2.8385908081042E+027,3.93193423126754E+028,-648.248095119005
0.368,78573662709701.2,-516443156.006953,2.56737577245967E+027,3.55618568229709E+028,-586.899367670593
0.37,71066048390485.8,-467097664.112222,2.32206686982195E+027,3.21633272939953E+028,-531.346143659214
0.372,64275586880981,-422465821.144584,2.10019066519992E+027,2.90894804196493E+028,-481.04212555377
0.374,58133801967538.6,-382097551.713007,1.89950972551495E+027,2.6309312779562E+028,-435.492383145514
0.376,52578751705928.6,-345585728.389732,1.71800012254976E+027,2.37947792185417E+028,-394.248518420516
0.378,47554405452984.1,-312562077.108458,1.55383107764998E+027,2.1520510877431E+028,-356.904322536331
0.38,43010080218716.9,-282693472.462724,1.40534654465194E+027,1.94635600600467E+028,-323.091812161557
0.382,38899930696628.8,-255678585.813504,1.27104854678382E+027,1.76031693871897E+028,-292.477641436009
0.384,35182487870039.2,-231244852.676409,1.14958210078904E+027,1.59205629304751E+028,-264.759851585531
0.386,31820241575760.9,-209145729.025935,1.03972157731711E+027,1.43987572370802E+028,-239.664931232041
0.388,28779262842179.5,-189158209.027642,9.40358360963682E+026,1.30223903546497E+028,-216.945132798735
0.39,26028862218439.8,-171080579.329803,8.50489686299568E+026,1.17775671447534E+028,-196.376061149078
0.392,23541280669561.9,-154730387.400948,7.69208537982448E+026,1.06517193358003E+028,-177.75447524664
0.394,21291409937452.4,-139942603.539854,6.95694513671426E+026,9.63347891328616E+027,-160.896297599295
0.396,19256539562949.4,-126567958.120854,6.29205558071717E+026,8.712563578123E+027,-145.634817530319
0.398,17416128030217.6,-114471437.388671,5.69070485169104E+026,7.87967312460083E+027,-131.819049669828
