# t,Ke0,Kd0,Ke1,Ke2,Ke3
0.26,-1.06510079052191E+015,7000644292.59992,-3.41563902025917E+028,-1.14127065316933E+030,0
0.262,-937840597176605,6164194500.67375,-3.00745494926636E+028,-1.0056984715508E+030,0
0.264,-825746516608809,5427427817.49752,-2.64792601551232E+028,-8.86178949925905E+029,0
0.266,-727016309596676,4778498570.55416,-2.33126902189516E+028,-7.80818247560221E+029,0
0.268,-640061219269775,4206964253.9839,-2.05238599232518E+028,-6.87945034428374E+029,0
0.27,-563480774018136,3703619914.31298,-1.80678327204766E+028,-6.06084470686427E+029,0
0.272,-496040552264017,3260352003.86063,-1.59050014085336E+028,-5.33935212554276E+029,0
0.274,-436652562646638,2870009424.49763,-1.40004582571104E+028,-4.70349094828216E+029,0
0.276,-384357933275227,2526289748.45882,-1.23234392898287E+028,-4.14313180365587E+029,0
0.278,-338311639607837,2223638838.41307,-1.08468340302602E+028,-3.64933902448521E+029,0
0.28,-297769031845692,1957162295.36888,-9.54675303366468E+027,-3.21423057455216E+029,0
0.282,-262073950766464,1722547347.01869,-8.40214642210063E+027,-2.8308543317892E+029,0
0.284,-230648245474439,1515993950.49312,-7.39446743290694E+027,-2.49307882875502E+029,0
0.286,-202982528394888,1334154027.20041,-6.50737569075034E+027,-2.19549677029862E+029,0
0.288,-178628022053676,1174077873.76084,-5.72647553198453E+027,-1.93333984224393E+029,0
0.29,-157189369236336,1033166904.94482,-5.03908525695817E+027,-1.70240349673503E+029,0
0.292,-138318293131636,909131983.376374,-4.43403366904444E+027,-1.49898055195167E+029,0
0.294,-121708007361304,799956678.025275,-3.90148068589585E+027,-1.31980257847899E+029,0
0.296,-107088287533156,703864870.75776,-3.43275918550072E+027,-1.16198816374341E+029,0
0.298,-94221126326097.9,619292198.284229,-3.02023558265662E+027,-1.02299725134091E+029,0
0.3,-82896903262635.9,544860877.013826,-2.65718692560269E+027,-9.00590845342061E+028,0
0.302,-72931008422963.3,479357511.574315,-2.33769256227502E+027,-7.92795452152514E+028,0
0.304,-64160866491536.3,421713534.589131,-2.05653865509632E+027,-6.97871705510729E+028,0
0.306,-56443313824746.1,370987966.812709,-1.8091340256222E+027,-6.14286684711238E+028,0
0.308,-49652286816606.4,326352223.314645,-1.59143598926444E+027,-5.40689493249784E+028,0
0.31,-43676784731674.5,287076723.688349,-1.39988499808893E+027,-4.75889715532188E+028,0
0.312,-38419074527400.7,252519092.794487,-1.23134704903349E+027,-4.18838413911556E+028,0
0.314,-33793109012339.2,222113763.705146,-1.08306293785703E+027,-3.68611367757173E+028,0
0.316,-29723133071532.7,195362816.765579,-9.52603547664097E+026,-3.24394291118774E+028,0
0.318,-26142455665635,171827908.250916,-8.37830456619632E+026,-2.85469796357786E+028,0
0.32,-22992367951138.3,151123159.436862,-7.36861233982145E+026,-2.51205898342988E+028,0
0.322,-20221190184236.3,132908892.133777,-6.4803886814985E+026,-2.21045877863015E+028,0
0.324,-17783432127416.5,116886110.248171,-5.69904836197532E+026,-1.9449934415996E+028,0
0.326,-15639053478748.1,102791638.766059,-5.01175382431598E+026,-1.71134355267237E+028,0
0.328,-13752812444794.2,90393842.0837917,-4.40720624669532E+026,-1.50570471413109E+028,0
0.33,-12093691979623.1,79488852.8198961,-3.87546152119635E+026,-1.32472631402617E+028,0
0.332,-10634394459032.7,69897250.4322113,-3.40776818567167E+026,-1.16545754826592E+028,0
0.334,-9350896647121.2,61461136.1248339,-2.99642469686356E+026,-1.02529984365058E+028,0
0.336,-8222057783325.26,54041556.8991035,-2.63465374289014E+026,-9.01964925429965E+027,0
0.338,-7229274464824.23,47516237.1828164,-2.3164915662373E+026,-7.93437861972621E+027,0
0.34,-6356176752834.62,41777581.4107908,-2.03669050934587E+026,-6.97944497777918E+027,0
0.342,-5588360590392.94,36730915.273456,-1.79063320712308E+026,-6.13922755418087E+027,0
0.344,-4913152204682.69,32292937.1914792,-1.57425703802323E+026,-5.39997348278193E+027,0
0.346,-4319400680274.02,28390354.9514396,-1.38398761032332E+026,-4.74957499999242E+027,0
0.348,-3797295343197.37,24958685.4153559,-1.21668020569852E+026,-4.17737314231724E+027,0
0.35,-3338204995360.13,21941197.8494536,-1.06956823048462E+026,-3.67398480417635E+027,0
0.352,-2934536391334.76,19287983.7260675,-9.40217837985336E+025,-3.23115038442759E+027,0
0.354,-2579609659931.02,16955137.9011679,-8.26487984837823E+025,-2.84159957785434E+027,0
0.356,-2267548646351.82,14904037.8598353,-7.26495272216633E+025,-2.49893315690553E+027,0
0.358,-1993184392117.86,13100709.3140964,-6.38583000025449E+025,-2.197518844031E+027,0
0.36,-1751970182486.67,11515267.8302528,-5.61293930395962E+025,-1.93239959990976E+027,0
0.362,-1539906778056.01,10121427.3949956,-4.9334631687369E+025,-1.69921285126362E+027,0
0.364,-1353476612404.14,8896067.91249784,-4.33612808605762E+025,-1.49411935697683E+027,0
0.366,-1189585883060.24,7818854.58276022,-3.81101885457282E+025,-1.31374056551172E+027,0
0.368,-1045513590908.54,6871902.95025355,-3.34941521070822E+025,-1.15510345273051E+027,0
0.37,-918866696091.922,6039484.15458333,-2.94364807065995E+025,-1.01559194920988E+027,0
0.372,-807540657893.339,5307765.56902382,-2.58697303452483E+025,-8.92904171936505E+026,0
0.374,-709684713478.95,4664582.58629145,-2.27345908404666E+025,-7.85014768534846E+026,0
0.376,-623671327660.879,4099237.81923418,-1.99789065280627E+025,-6.9014176442387E+026,0
0.378,-548069313523.625,3602324.42944849,-1.7556814654411E+025,-6.06717375767299E+026,0
0.38,-481620183824.989,3165570.69087064,-1.54279873435997E+025,-5.33362314994736E+026,0
0.382,-423217345557.652,2781703.24073635,-1.35569647129381E+025,-4.68863171969427E+026,0
0.384,-371887796522.366,2444326.77568752,-1.19125681983038E+025,-4.12152503528148E+026,0
0.386,-326776023642.998,2147818.21937502,-1.04673844604626E+025,-3.62291307851979E+026,0
0.388,-287129838630.511,1887233.62378522,-9.19731139721667E+024,-3.18453598684833E+026,0
0.39,-252287918382.119,1658226.27533905,-8.08115880153776E+024,-2.79912828375632E+026,0
0.392,-221668845288.821,1456974.65954158,-7.10029710023157E+024,-2.46029938659081E+026,0
0.394,-194761467242.585,1280119.09970494,-6.23834839486706E+024,-2.16242844460807E+026,0
0.396,-171116418708.805,1124706.02704371,-5.48091471965596E+024,-1.90057179244919E+026,0
0.398,-150338663289.697,988138.964768886,-4.81533904119223E+024,-1.67038150896156E+026,0
